id,preaward17,postaward17,dept17,inst17,preaward18,postaward18,dept18,inst18,chair,rasunit,awardnum,awardtotal,award,proposalnum,proposaltotal,proposal,doctortype,age,female,ethnicgrp,white,asian,yos,nMtg,dMtg,tenuretrack
1,1,1,2,1,3,3,3,3,0,2,3,1.021304,1,2,0.680054,1,2,59.4,1,3,0,1,21.5,1,1,0
2,1,2,1,2,2,1,2,2,0,3,4,0.35708,1,6,0.895746,1,1,68.4,0,0,1,0,33.9,0,0,1
3,2,2,2,2,3,2,2,2,0,5,7,3.819514,1,8,4.086561,1,2,60,0,0,1,0,33,3,1,1
4,3,1,1,1,1,3,3,3,0,4,0,0,0,1,0.410314,1,2,55.2,0,0,1,0,16.9,0,0,1
5,2,2,1,1,2,3,2,2,0,7,5,0.05814,1,4,0.102133,1,2,48.9,0,0,1,0,14,0,0,0
6,1,2,2,1,2,1,2,1,0,7,1,0.005849,1,0,0,0,2,71.4,0,0,1,0,38,0,0,0
7,1,1,1,1,1,3,3,2,0,1,6,0.083206,1,1,0,1,2,48.8,0,0,1,0,18,0,0,0
8,2,2,2,1,3,3,3,3,0,5,31,0.822396,1,13,0.968517,1,2,58,1,0,1,0,24.9,3,1,0
9,1,1,1,1,2,3,2,2,0,9,2,1.669862,1,3,2.829951,1,1,50.1,0,0,1,0,22.9,0,0,1
10,1,1,3,1,2,3,3,2,0,1,1,0.721514,1,5,1.567067,1,3,42.2,0,0,1,0,12.1,0,0,1
11,2,2,2,2,2,2,2,2,0,9,3,2.294695,1,4,3.401276,1,1,66.3,0,0,1,0,38,0,0,0
12,1,2,2,2,1,2,2,2,0,4,2,0.13,1,1,0.06,1,2,38.9,0,3,0,1,6,0,0,0
13,2,1,1,2,2,2,1,1,0,1,2,0.189921,1,2,0.189921,1,2,79.3,0,0,1,0,27.1,0,0,1
14,3,2,2,2,2,2,3,2,0,2,4,0.425735,1,6,0.95273,1,1,64.3,1,0,1,0,28.3,3,1,1
15,1,3,1,1,3,2,2,3,0,7,1,0.0125,1,1,0.0125,1,2,66.2,0,0,1,0,19.1,0,0,0
16,2,2,2,1,1,2,2,1,0,8,1,0.03146,1,0,0,0,1,70.7,1,0,1,0,30.5,0,0,1
17,1,1,1,1,1,2,1,1,0,6,1,0.502655,1,7,1.603308,1,1,62.5,0,3,0,1,27.5,0,0,1
